"#Data from Sprouse, Jon, Carson T. Schütze, & Diogo Almeida. 2013. A comparison of informal and formal acceptability judgments using a random sample from Linguistic Inquiry 2001-2010. Lingua 134: 219-248.",,,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,,
,,,,,,,
participant,survey,order,judgment,item,condition,expected,pattern
2,1.1,19,1,35.1.mcginnis.63b.*.01,35.1.mcginnis.63b.*,1,1
2,1.1,20,2,32.2.stroik.17a.*.01,32.2.stroik.17a.*,2,1
2,1.1,21,2,33.4.neeleman.18d.*.01,33.4.neeleman.18d.*,2,1
2,1.1,22,1,41.3.Rezac.3b2.*.01,41.3.Rezac.3b2.*,1,1
2,1.1,23,1,41.1.Muller.14c.*.01,41.1.Muller.14c.*,1,1
2,1.1,24,2,32.2.stroik.4b.*.01,32.2.stroik.4b.*,2,1
2,1.1,25,2,35.3.hazout.67c.*.01,35.3.hazout.67c.*,1,0
2,1.1,26,1,33.1.den Dikken.58a.*.01,33.1.den Dikken.58a.*,2,0
2,1.1,27,2,32.3.Culicover.49a.*.01,32.3.Culicover.49a.*,2,1
2,1.1,28,2,34.1.phillips.3e.*.01,34.1.phillips.3e.*,2,1
2,1.1,29,2,32.1.martin.93b.*.01,32.1.martin.93b.*,2,1
2,1.1,30,2,35.1.bhatt.94a.*.01,35.1.bhatt.94a.*,1,0
2,1.1,31,1,37.2.Sigurdsson.3d.*.01,37.2.Sigurdsson.3d.*,1,1
2,1.1,32,1,41.3.Vicente.4a3.*.01,41.3.Vicente.4a3.*,1,1
2,1.1,33,1,38.4.kallulli.10b.*.01,38.4.kallulli.10b.*,1,1
2,1.1,34,1,34.3.takano.9e.*.01,34.3.takano.9e.*,1,1
2,1.1,35,2,34.2.caponigro.13b.*.01,34.2.caponigro.13b.*,2,1
2,1.1,36,1,35.2.larson.44c.??.01,35.2.larson.44c.??,1,1
2,1.1,37,1,38.3.hirose.4a.*.01,38.3.hirose.4a.*,1,1
2,1.1,38,2,41.3.Vicente.5a.*.01,41.3.Vicente.5a.*,1,0
2,1.1,39,2,32.3.Culicover.28c.*.01,32.3.Culicover.28c.*,2,1
2,1.1,40,2,33.1.fox.65b.*.01,33.1.fox.65b.*,2,1
2,1.1,41,1,34.4.haegeman.2a.*.01,34.4.haegeman.2a.*,1,1
2,1.1,42,2,40.1.stepanov.4b.*.01,40.1.stepanov.4b.*,1,0
2,1.1,43,1,41.4.Haegeman.4a.*.01,41.4.Haegeman.4a.*,1,1
2,1.1,44,2,35.3.richards.17b.*.01,35.3.richards.17b.*,1,0
2,1.1,45,2,32.1.martin.69b.*.01,32.1.martin.69b.*,2,1
2,1.1,46,1,37.3.becker.5b.*.01,37.3.becker.5b.*,1,1
2,1.1,47,2,32.3.fanselow.58b.*.01,32.3.fanselow.58b.*,2,1
2,1.1,48,2,33.4.neeleman.100.*.01,33.4.neeleman.100.*,2,1
2,1.1,49,2,34.1.basilico.62.*.01,34.1.basilico.62.*,2,1
2,1.1,50,2,32.2.nunes.3b.*.01,32.2.nunes.3b.*,2,1
3,1.1,1,1,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,1,1
3,1.1,2,2,34.1.fox.26.*.01,34.1.fox.26.*,2,1
3,1.1,3,1,41.4.Haegeman.18a.*.01,41.4.Haegeman.18a.*,1,1
3,1.1,4,2,34.1.basilico.96a.??.01,34.1.basilico.96a.??,2,1
3,1.1,5,1,37.1.boeckx.5.*.01,37.1.boeckx.5.*,1,1
3,1.1,6,1,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,1,1
3,1.1,7,1,40.1.caponigro.23a.*.01,40.1.caponigro.23a.*,1,1
3,1.1,8,2,32.1.martin.2c.*.01,32.1.martin.2c.*,2,1
3,1.1,9,2,33.2.bowers.13a.*.01,33.2.bowers.13a.*,2,1
3,1.1,10,2,34.1.phillips.96a.*.01,34.1.phillips.96a.*,2,1
3,1.1,11,2,34.4.boskovic.3a.*.01,34.4.boskovic.3a.*,1,0
3,1.1,12,2,34.3.heycock.16.*.01,34.3.heycock.16.*,2,1
3,1.1,13,1,32.4.lopez.10a.*.01,32.4.lopez.10a.*,2,0
3,1.1,14,2,34.1.basilico.44b.*.01,34.1.basilico.44b.*,2,1
3,1.1,15,2,32.3.fanselow.59b.*.01,32.3.fanselow.59b.*,2,1
3,1.1,16,1,41.3.Vicente.4a6.*.01,41.3.Vicente.4a6.*,1,1
3,1.1,17,1,33.2.bowers.69b.*.01,33.2.bowers.69b.*,2,0
3,1.1,18,1,41.2.Bruening.33a.*.01,41.2.Bruening.33a.*,1,1
3,1.1,19,1,35.1.mcginnis.63b.*.01,35.1.mcginnis.63b.*,1,1
3,1.1,20,2,32.2.stroik.17a.*.01,32.2.stroik.17a.*,2,1
3,1.1,21,2,33.4.neeleman.18d.*.01,33.4.neeleman.18d.*,2,1
3,1.1,22,1,41.3.Rezac.3b2.*.01,41.3.Rezac.3b2.*,1,1
3,1.1,23,1,41.1.Muller.14c.*.01,41.1.Muller.14c.*,1,1
3,1.1,24,2,32.2.stroik.4b.*.01,32.2.stroik.4b.*,2,1
3,1.1,25,1,35.3.hazout.67c.*.01,35.3.hazout.67c.*,1,1
3,1.1,26,2,33.1.den Dikken.58a.*.01,33.1.den Dikken.58a.*,2,1
3,1.1,27,2,32.3.Culicover.49a.*.01,32.3.Culicover.49a.*,2,1
3,1.1,28,2,34.1.phillips.3e.*.01,34.1.phillips.3e.*,2,1
3,1.1,29,2,32.1.martin.93b.*.01,32.1.martin.93b.*,2,1
3,1.1,30,1,35.1.bhatt.94a.*.01,35.1.bhatt.94a.*,1,1
3,1.1,31,1,37.2.Sigurdsson.3d.*.01,37.2.Sigurdsson.3d.*,1,1
3,1.1,32,1,41.3.Vicente.4a3.*.01,41.3.Vicente.4a3.*,1,1
3,1.1,33,1,38.4.kallulli.10b.*.01,38.4.kallulli.10b.*,1,1
3,1.1,34,1,34.3.takano.9e.*.01,34.3.takano.9e.*,1,1
3,1.1,35,2,34.2.caponigro.13b.*.01,34.2.caponigro.13b.*,2,1
3,1.1,36,1,35.2.larson.44c.??.01,35.2.larson.44c.??,1,1
3,1.1,37,1,38.3.hirose.4a.*.01,38.3.hirose.4a.*,1,1
3,1.1,38,1,41.3.Vicente.5a.*.01,41.3.Vicente.5a.*,1,1
3,1.1,39,1,32.3.Culicover.28c.*.01,32.3.Culicover.28c.*,2,0
3,1.1,40,2,33.1.fox.65b.*.01,33.1.fox.65b.*,2,1
3,1.1,41,1,34.4.haegeman.2a.*.01,34.4.haegeman.2a.*,1,1
3,1.1,42,1,40.1.stepanov.4b.*.01,40.1.stepanov.4b.*,1,1
3,1.1,43,1,41.4.Haegeman.4a.*.01,41.4.Haegeman.4a.*,1,1
3,1.1,44,1,35.3.richards.17b.*.01,35.3.richards.17b.*,1,1
3,1.1,45,2,32.1.martin.69b.*.01,32.1.martin.69b.*,2,1
3,1.1,46,1,37.3.becker.5b.*.01,37.3.becker.5b.*,1,1
3,1.1,47,2,32.3.fanselow.58b.*.01,32.3.fanselow.58b.*,2,1
3,1.1,48,2,33.4.neeleman.100.*.01,33.4.neeleman.100.*,2,1
3,1.1,49,2,34.1.basilico.62.*.01,34.1.basilico.62.*,2,1
3,1.1,50,2,32.2.nunes.3b.*.01,32.2.nunes.3b.*,2,1
4,1.1,1,1,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,1,1
4,1.1,2,2,34.1.fox.26.*.01,34.1.fox.26.*,2,1
4,1.1,3,2,41.4.Haegeman.18a.*.01,41.4.Haegeman.18a.*,1,0
4,1.1,4,2,34.1.basilico.96a.??.01,34.1.basilico.96a.??,2,1
4,1.1,5,1,37.1.boeckx.5.*.01,37.1.boeckx.5.*,1,1
4,1.1,6,1,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,1,1
4,1.1,7,1,40.1.caponigro.23a.*.01,40.1.caponigro.23a.*,1,1
4,1.1,8,2,32.1.martin.2c.*.01,32.1.martin.2c.*,2,1
4,1.1,9,2,33.2.bowers.13a.*.01,33.2.bowers.13a.*,2,1
4,1.1,10,2,34.1.phillips.96a.*.01,34.1.phillips.96a.*,2,1
4,1.1,11,1,34.4.boskovic.3a.*.01,34.4.boskovic.3a.*,1,1
4,1.1,12,2,34.3.heycock.16.*.01,34.3.heycock.16.*,2,1
4,1.1,13,1,32.4.lopez.10a.*.01,32.4.lopez.10a.*,2,0
4,1.1,14,2,34.1.basilico.44b.*.01,34.1.basilico.44b.*,2,1
4,1.1,15,2,32.3.fanselow.59b.*.01,32.3.fanselow.59b.*,2,1
4,1.1,16,1,41.3.Vicente.4a6.*.01,41.3.Vicente.4a6.*,1,1
4,1.1,17,2,33.2.bowers.69b.*.01,33.2.bowers.69b.*,2,1
4,1.1,18,1,41.2.Bruening.33a.*.01,41.2.Bruening.33a.*,1,1
4,1.1,19,1,35.1.mcginnis.63b.*.01,35.1.mcginnis.63b.*,1,1
4,1.1,20,2,32.2.stroik.17a.*.01,32.2.stroik.17a.*,2,1
4,1.1,21,2,33.4.neeleman.18d.*.01,33.4.neeleman.18d.*,2,1
4,1.1,22,1,41.3.Rezac.3b2.*.01,41.3.Rezac.3b2.*,1,1
4,1.1,23,1,41.1.Muller.14c.*.01,41.1.Muller.14c.*,1,1
4,1.1,24,2,32.2.stroik.4b.*.01,32.2.stroik.4b.*,2,1
4,1.1,25,1,35.3.hazout.67c.*.01,35.3.hazout.67c.*,1,1
4,1.1,26,2,33.1.den Dikken.58a.*.01,33.1.den Dikken.58a.*,2,1
4,1.1,27,2,32.3.Culicover.49a.*.01,32.3.Culicover.49a.*,2,1
4,1.1,28,2,34.1.phillips.3e.*.01,34.1.phillips.3e.*,2,1
4,1.1,29,2,32.1.martin.93b.*.01,32.1.martin.93b.*,2,1
4,1.1,30,2,35.1.bhatt.94a.*.01,35.1.bhatt.94a.*,1,0
4,1.1,31,1,37.2.Sigurdsson.3d.*.01,37.2.Sigurdsson.3d.*,1,1
4,1.1,32,1,41.3.Vicente.4a3.*.01,41.3.Vicente.4a3.*,1,1
4,1.1,33,1,38.4.kallulli.10b.*.01,38.4.kallulli.10b.*,1,1
4,1.1,34,1,34.3.takano.9e.*.01,34.3.takano.9e.*,1,1
4,1.1,35,2,34.2.caponigro.13b.*.01,34.2.caponigro.13b.*,2,1
4,1.1,36,1,35.2.larson.44c.??.01,35.2.larson.44c.??,1,1
4,1.1,37,1,38.3.hirose.4a.*.01,38.3.hirose.4a.*,1,1
4,1.1,38,1,41.3.Vicente.5a.*.01,41.3.Vicente.5a.*,1,1
4,1.1,39,2,32.3.Culicover.28c.*.01,32.3.Culicover.28c.*,2,1
4,1.1,40,2,33.1.fox.65b.*.01,33.1.fox.65b.*,2,1
4,1.1,41,1,34.4.haegeman.2a.*.01,34.4.haegeman.2a.*,1,1
4,1.1,42,1,40.1.stepanov.4b.*.01,40.1.stepanov.4b.*,1,1
4,1.1,43,1,41.4.Haegeman.4a.*.01,41.4.Haegeman.4a.*,1,1
4,1.1,44,2,35.3.richards.17b.*.01,35.3.richards.17b.*,1,0
4,1.1,45,2,32.1.martin.69b.*.01,32.1.martin.69b.*,2,1
4,1.1,46,1,37.3.becker.5b.*.01,37.3.becker.5b.*,1,1
4,1.1,47,2,32.3.fanselow.58b.*.01,32.3.fanselow.58b.*,2,1
4,1.1,48,2,33.4.neeleman.100.*.01,33.4.neeleman.100.*,2,1
4,1.1,49,2,34.1.basilico.62.*.01,34.1.basilico.62.*,2,1
4,1.1,50,1,32.2.nunes.3b.*.01,32.2.nunes.3b.*,2,0
5,1.1,1,1,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,1,1
5,1.1,2,2,34.1.fox.26.*.01,34.1.fox.26.*,2,1
5,1.1,3,1,41.4.Haegeman.18a.*.01,41.4.Haegeman.18a.*,1,1
5,1.1,4,2,34.1.basilico.96a.??.01,34.1.basilico.96a.??,2,1
5,1.1,5,1,37.1.boeckx.5.*.01,37.1.boeckx.5.*,1,1
5,1.1,6,1,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,1,1
5,1.1,7,1,40.1.caponigro.23a.*.01,40.1.caponigro.23a.*,1,1
5,1.1,8,2,32.1.martin.2c.*.01,32.1.martin.2c.*,2,1
5,1.1,9,2,33.2.bowers.13a.*.01,33.2.bowers.13a.*,2,1
5,1.1,10,2,34.1.phillips.96a.*.01,34.1.phillips.96a.*,2,1
5,1.1,11,2,34.4.boskovic.3a.*.01,34.4.boskovic.3a.*,1,0
5,1.1,12,2,34.3.heycock.16.*.01,34.3.heycock.16.*,2,1
5,1.1,13,1,32.4.lopez.10a.*.01,32.4.lopez.10a.*,2,0
5,1.1,14,2,34.1.basilico.44b.*.01,34.1.basilico.44b.*,2,1
5,1.1,15,2,32.3.fanselow.59b.*.01,32.3.fanselow.59b.*,2,1
5,1.1,16,1,41.3.Vicente.4a6.*.01,41.3.Vicente.4a6.*,1,1
5,1.1,17,2,33.2.bowers.69b.*.01,33.2.bowers.69b.*,2,1
5,1.1,18,1,41.2.Bruening.33a.*.01,41.2.Bruening.33a.*,1,1
5,1.1,19,1,35.1.mcginnis.63b.*.01,35.1.mcginnis.63b.*,1,1
5,1.1,20,2,32.2.stroik.17a.*.01,32.2.stroik.17a.*,2,1
5,1.1,21,2,33.4.neeleman.18d.*.01,33.4.neeleman.18d.*,2,1
5,1.1,22,2,41.3.Rezac.3b2.*.01,41.3.Rezac.3b2.*,1,0
5,1.1,23,1,41.1.Muller.14c.*.01,41.1.Muller.14c.*,1,1
5,1.1,24,2,32.2.stroik.4b.*.01,32.2.stroik.4b.*,2,1
5,1.1,25,1,35.3.hazout.67c.*.01,35.3.hazout.67c.*,1,1
5,1.1,26,2,33.1.den Dikken.58a.*.01,33.1.den Dikken.58a.*,2,1
5,1.1,27,2,32.3.Culicover.49a.*.01,32.3.Culicover.49a.*,2,1
5,1.1,28,2,34.1.phillips.3e.*.01,34.1.phillips.3e.*,2,1
5,1.1,29,2,32.1.martin.93b.*.01,32.1.martin.93b.*,2,1
5,1.1,30,2,35.1.bhatt.94a.*.01,35.1.bhatt.94a.*,1,0
5,1.1,31,1,37.2.Sigurdsson.3d.*.01,37.2.Sigurdsson.3d.*,1,1
5,1.1,32,1,41.3.Vicente.4a3.*.01,41.3.Vicente.4a3.*,1,1
5,1.1,33,1,38.4.kallulli.10b.*.01,38.4.kallulli.10b.*,1,1
5,1.1,34,1,34.3.takano.9e.*.01,34.3.takano.9e.*,1,1
5,1.1,35,2,34.2.caponigro.13b.*.01,34.2.caponigro.13b.*,2,1
5,1.1,36,1,35.2.larson.44c.??.01,35.2.larson.44c.??,1,1
5,1.1,37,2,38.3.hirose.4a.*.01,38.3.hirose.4a.*,1,0
5,1.1,38,1,41.3.Vicente.5a.*.01,41.3.Vicente.5a.*,1,1
5,1.1,39,2,32.3.Culicover.28c.*.01,32.3.Culicover.28c.*,2,1
5,1.1,40,2,33.1.fox.65b.*.01,33.1.fox.65b.*,2,1
5,1.1,41,1,34.4.haegeman.2a.*.01,34.4.haegeman.2a.*,1,1
5,1.1,42,1,40.1.stepanov.4b.*.01,40.1.stepanov.4b.*,1,1
5,1.1,43,1,41.4.Haegeman.4a.*.01,41.4.Haegeman.4a.*,1,1
5,1.1,44,1,35.3.richards.17b.*.01,35.3.richards.17b.*,1,1
5,1.1,45,2,32.1.martin.69b.*.01,32.1.martin.69b.*,2,1
5,1.1,46,1,37.3.becker.5b.*.01,37.3.becker.5b.*,1,1
5,1.1,47,2,32.3.fanselow.58b.*.01,32.3.fanselow.58b.*,2,1
5,1.1,48,2,33.4.neeleman.100.*.01,33.4.neeleman.100.*,2,1
5,1.1,49,2,34.1.basilico.62.*.01,34.1.basilico.62.*,2,1
5,1.1,50,2,32.2.nunes.3b.*.01,32.2.nunes.3b.*,2,1
6,1.1,1,1,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,1,1
6,1.1,2,2,34.1.fox.26.*.01,34.1.fox.26.*,2,1
6,1.1,3,1,41.4.Haegeman.18a.*.01,41.4.Haegeman.18a.*,1,1
6,1.1,4,2,34.1.basilico.96a.??.01,34.1.basilico.96a.??,2,1
6,1.1,5,1,37.1.boeckx.5.*.01,37.1.boeckx.5.*,1,1
6,1.1,6,2,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,1,0
6,1.1,7,1,40.1.caponigro.23a.*.01,40.1.caponigro.23a.*,1,1
6,1.1,8,2,32.1.martin.2c.*.01,32.1.martin.2c.*,2,1
6,1.1,9,2,33.2.bowers.13a.*.01,33.2.bowers.13a.*,2,1
6,1.1,10,2,34.1.phillips.96a.*.01,34.1.phillips.96a.*,2,1
6,1.1,11,2,34.4.boskovic.3a.*.01,34.4.boskovic.3a.*,1,0
6,1.1,12,2,34.3.heycock.16.*.01,34.3.heycock.16.*,2,1
6,1.1,13,1,32.4.lopez.10a.*.01,32.4.lopez.10a.*,2,0
6,1.1,14,2,34.1.basilico.44b.*.01,34.1.basilico.44b.*,2,1
6,1.1,15,2,32.3.fanselow.59b.*.01,32.3.fanselow.59b.*,2,1
6,1.1,16,1,41.3.Vicente.4a6.*.01,41.3.Vicente.4a6.*,1,1
6,1.1,17,2,33.2.bowers.69b.*.01,33.2.bowers.69b.*,2,1
6,1.1,18,1,41.2.Bruening.33a.*.01,41.2.Bruening.33a.*,1,1
6,1.1,19,1,35.1.mcginnis.63b.*.01,35.1.mcginnis.63b.*,1,1
6,1.1,20,2,32.2.stroik.17a.*.01,32.2.stroik.17a.*,2,1
6,1.1,21,2,33.4.neeleman.18d.*.01,33.4.neeleman.18d.*,2,1
6,1.1,22,1,41.3.Rezac.3b2.*.01,41.3.Rezac.3b2.*,1,1
6,1.1,23,1,41.1.Muller.14c.*.01,41.1.Muller.14c.*,1,1
6,1.1,24,2,32.2.stroik.4b.*.01,32.2.stroik.4b.*,2,1
6,1.1,25,2,35.3.hazout.67c.*.01,35.3.hazout.67c.*,1,0
6,1.1,26,2,33.1.den Dikken.58a.*.01,33.1.den Dikken.58a.*,2,1
6,1.1,27,2,32.3.Culicover.49a.*.01,32.3.Culicover.49a.*,2,1
6,1.1,28,2,34.1.phillips.3e.*.01,34.1.phillips.3e.*,2,1
6,1.1,29,2,32.1.martin.93b.*.01,32.1.martin.93b.*,2,1
6,1.1,30,2,35.1.bhatt.94a.*.01,35.1.bhatt.94a.*,1,0
6,1.1,31,1,37.2.Sigurdsson.3d.*.01,37.2.Sigurdsson.3d.*,1,1
6,1.1,32,1,41.3.Vicente.4a3.*.01,41.3.Vicente.4a3.*,1,1
6,1.1,33,1,38.4.kallulli.10b.*.01,38.4.kallulli.10b.*,1,1
6,1.1,34,1,34.3.takano.9e.*.01,34.3.takano.9e.*,1,1
6,1.1,35,2,34.2.caponigro.13b.*.01,34.2.caponigro.13b.*,2,1
6,1.1,36,1,35.2.larson.44c.??.01,35.2.larson.44c.??,1,1
6,1.1,37,1,38.3.hirose.4a.*.01,38.3.hirose.4a.*,1,1
6,1.1,38,1,41.3.Vicente.5a.*.01,41.3.Vicente.5a.*,1,1
6,1.1,39,2,32.3.Culicover.28c.*.01,32.3.Culicover.28c.*,2,1
6,1.1,40,2,33.1.fox.65b.*.01,33.1.fox.65b.*,2,1
6,1.1,41,1,34.4.haegeman.2a.*.01,34.4.haegeman.2a.*,1,1
6,1.1,42,1,40.1.stepanov.4b.*.01,40.1.stepanov.4b.*,1,1
6,1.1,43,1,41.4.Haegeman.4a.*.01,41.4.Haegeman.4a.*,1,1
6,1.1,44,1,35.3.richards.17b.*.01,35.3.richards.17b.*,1,1
6,1.1,45,2,32.1.martin.69b.*.01,32.1.martin.69b.*,2,1
6,1.1,46,1,37.3.becker.5b.*.01,37.3.becker.5b.*,1,1
6,1.1,47,2,32.3.fanselow.58b.*.01,32.3.fanselow.58b.*,2,1
6,1.1,48,2,33.4.neeleman.100.*.01,33.4.neeleman.100.*,2,1
6,1.1,49,2,34.1.basilico.62.*.01,34.1.basilico.62.*,2,1
6,1.1,50,2,32.2.nunes.3b.*.01,32.2.nunes.3b.*,2,1
7,1.1,1,1,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,1,1
7,1.1,2,2,34.1.fox.26.*.01,34.1.fox.26.*,2,1
7,1.1,3,1,41.4.Haegeman.18a.*.01,41.4.Haegeman.18a.*,1,1
7,1.1,4,2,34.1.basilico.96a.??.01,34.1.basilico.96a.??,2,1
7,1.1,5,2,37.1.boeckx.5.*.01,37.1.boeckx.5.*,1,0
7,1.1,6,2,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,1,0
7,1.1,7,1,40.1.caponigro.23a.*.01,40.1.caponigro.23a.*,1,1
7,1.1,8,2,32.1.martin.2c.*.01,32.1.martin.2c.*,2,1
7,1.1,9,1,33.2.bowers.13a.*.01,33.2.bowers.13a.*,2,0
7,1.1,10,2,34.1.phillips.96a.*.01,34.1.phillips.96a.*,2,1
7,1.1,11,2,34.4.boskovic.3a.*.01,34.4.boskovic.3a.*,1,0
7,1.1,12,2,34.3.heycock.16.*.01,34.3.heycock.16.*,2,1
7,1.1,13,2,32.4.lopez.10a.*.01,32.4.lopez.10a.*,2,1
7,1.1,14,2,34.1.basilico.44b.*.01,34.1.basilico.44b.*,2,1
